1,2,3,4,5,6,7,8,class
0.030223,0.93955,0.47069,0.98489,0.043486,0.91308,0.45842,0.97826,F4
0.029777,0.94044,0.47113,0.98511,0.044103,0.91184,0.45788,0.97795,F4
0.029804,0.94039,0.47109,0.9851,0.043738,0.91258,0.45819,0.97813,F4
0.029218,0.94156,0.47164,0.98539,0.045002,0.91005,0.45704,0.9775,F4
0.030112,0.93978,0.4708,0.98494,0.044552,0.91095,0.45745,0.97772,F4
0.028799,0.9424,0.47204,0.9856,0.043121,0.91381,0.45876,0.97844,F4
0.027961,0.94408,0.47282,0.98602,0.041942,0.91617,0.45983,0.97903,F4
0.028464,0.94307,0.47235,0.98577,0.042728,0.9146,0.45911,0.97864,F4
0.028045,0.94391,0.47275,0.98598,0.042363,0.91533,0.45945,0.97882,F4
0.03,0.94,0.4709,0.985,0.043205,0.91364,0.45868,0.9784,F4
0.027291,0.94542,0.47346,0.98635,0.041436,0.91718,0.4603,0.97928,F4
0.030838,0.93832,0.47013,0.98458,0.042924,0.9142,0.45895,0.97854,F4
0.029553,0.94089,0.47134,0.98522,0.04152,0.91701,0.46023,0.97924,F4
0.028464,0.94307,0.47236,0.98577,0.041942,0.91617,0.45984,0.97903,F4
0.028966,0.94207,0.47189,0.98552,0.042671,0.91471,0.45918,0.97866,F4
0.03,0.94,0.47091,0.985,0.043429,0.91319,0.45848,0.97829,F4
0.029134,0.94173,0.47171,0.98543,0.041885,0.91628,0.45988,0.97906,F4
0.028408,0.94318,0.47241,0.9858,0.043064,0.91392,0.45881,0.97847,F4
0.029134,0.94173,0.47172,0.98543,0.043289,0.91343,0.4586,0.97836,F5
0.028994,0.94201,0.47187,0.9855,0.040594,0.91881,0.46112,0.9797,F5
0.031006,0.93799,0.46996,0.9845,0.042363,0.91528,0.45946,0.97882,F5
0.02905,0.9419,0.47181,0.98547,0.041689,0.91663,0.4601,0.97916,F5
0.029804,0.94039,0.47108,0.9851,0.041605,0.9168,0.46014,0.9792,F5
0.028855,0.94229,0.47198,0.98557,0.04225,0.91551,0.45954,0.97887,F5
0.028603,0.94279,0.47223,0.9857,0.041464,0.91708,0.46029,0.97927,F5
0.028352,0.9433,0.47247,0.98582,0.040706,0.9186,0.46099,0.97965,F5
0.028212,0.94357,0.47261,0.98589,0.041043,0.91792,0.4607,0.97948,F5
0.028156,0.94369,0.47265,0.98592,0.041212,0.91759,0.46052,0.97939,F5
0.02852,0.94296,0.47235,0.98574,0.040875,0.91824,0.4609,0.97956,F5
0.028184,0.94363,0.47263,0.98591,0.041352,0.91729,0.46042,0.97932,F5
0.029022,0.94196,0.47182,0.98549,0.043036,0.91393,0.45883,0.97848,F5
0.028184,0.94363,0.47265,0.98591,0.04051,0.91897,0.46122,0.97975,F5
0.028603,0.94279,0.47222,0.9857,0.040819,0.91836,0.46088,0.97959,F5
0.030112,0.93977,0.47086,0.98494,0.042335,0.91531,0.45957,0.97883,F5
0.028994,0.94201,0.47187,0.9855,0.041043,0.91791,0.46071,0.97948,F5
0.029749,0.9405,0.47116,0.98513,0.041184,0.91763,0.46057,0.97941,F5
0.029665,0.94067,0.47122,0.98517,0.042419,0.91517,0.45939,0.97879,F5
0.030056,0.93988,0.47092,0.98497,0.042054,0.91587,0.45985,0.97897,F5
0.033408,0.93319,0.46772,0.9833,0.052104,0.89582,0.45062,0.97395,F6
0.036816,0.92637,0.46454,0.98159,0.054125,0.89178,0.44881,0.97294,F6
0.034888,0.93022,0.46633,0.98256,0.054603,0.89082,0.44839,0.9727,F6
0.032626,0.93475,0.46845,0.98369,0.050953,0.89813,0.45166,0.97452,F6
0.036201,0.9276,0.46512,0.9819,0.054406,0.89121,0.44857,0.9728,F6
0.032654,0.93469,0.46841,0.98367,0.051627,0.89678,0.45105,0.97419,F6
0.033492,0.93302,0.46763,0.98325,0.052413,0.89521,0.45035,0.97379,F6
0.033101,0.9338,0.468,0.98345,0.052076,0.89588,0.45065,0.97396,F6
0.031732,0.93654,0.46928,0.98413,0.049465,0.90111,0.45299,0.97527,F6
0.031089,0.93782,0.46989,0.98446,0.04969,0.90066,0.4528,0.97516,F6
0.031592,0.93681,0.46942,0.9842,0.04969,0.90066,0.4528,0.97516,F6
0.03648,0.92704,0.46486,0.98176,0.059459,0.88111,0.44409,0.97027,F6
0.034944,0.93011,0.46628,0.98253,0.052946,0.89413,0.44986,0.97353,F6
0.032626,0.93475,0.46845,0.98369,0.049381,0.90127,0.45308,0.97531,F6
0.034358,0.93128,0.46683,0.98282,0.050504,0.89902,0.45206,0.97475,F6
0.035223,0.92955,0.46602,0.98239,0.05376,0.89251,0.44914,0.97312,F6
0.03648,0.92704,0.46485,0.98176,0.054996,0.89004,0.44804,0.9725,F6
0.036313,0.92737,0.46501,0.98184,0.054182,0.89167,0.44876,0.97291,F6
0.037151,0.9257,0.46424,0.98142,0.055389,0.88925,0.4477,0.97231,F6
0.036229,0.92754,0.46508,0.98189,0.055024,0.88998,0.44801,0.97249,F6
0.056955,0.88609,0.44635,0.97152,0.081104,0.83778,0.42551,0.95945,F7
0.052123,0.89577,0.45062,0.97394,0.068836,0.86232,0.43594,0.96558,F7
0.052235,0.89555,0.45051,0.97388,0.067572,0.86485,0.43702,0.96621,F7
0.053715,0.89258,0.44923,0.97314,0.073889,0.85221,0.4316,0.96306,F7
0.048631,0.90276,0.45374,0.97568,0.064597,0.87081,0.43958,0.9677,F7
0.052626,0.89476,0.45015,0.97369,0.072261,0.85547,0.43298,0.96387,F7
0.054553,0.89091,0.44843,0.97272,0.073524,0.85295,0.4319,0.96324,F7
0.056201,0.88759,0.44705,0.9719,0.077847,0.84429,0.42827,0.96108,F7
0.055251,0.88948,0.44792,0.97237,0.078016,0.84394,0.42816,0.96099,F7
0.050866,0.89825,0.45188,0.97457,0.070408,0.85913,0.43475,0.9648,F7
0.052207,0.89558,0.45063,0.9739,0.069818,0.86032,0.4352,0.96509,F7
0.049637,0.90074,0.45283,0.97518,0.065692,0.86862,0.43863,0.96715,F7
0.050754,0.89851,0.45184,0.97462,0.068639,0.86272,0.4361,0.96568,F7
0.047933,0.90415,0.45438,0.97603,0.065242,0.86951,0.43903,0.96738,F7
0.049916,0.90018,0.45262,0.97504,0.065635,0.86871,0.43873,0.96718,F7
0.049693,0.90063,0.45279,0.97515,0.06527,0.86945,0.43901,0.96736,F7
0.048994,0.90203,0.45341,0.9755,0.065299,0.8694,0.43897,0.96735,F7
0.049134,0.90174,0.45333,0.97543,0.065355,0.86927,0.43899,0.96732,F7
0.052737,0.89454,0.45005,0.97363,0.071503,0.85699,0.43361,0.96425,F7
0.054022,0.89197,0.44891,0.97299,0.075293,0.84941,0.43038,0.96235,F7
0.028575,0.94287,0.47225,0.98571,0.042728,0.91454,0.45911,0.97864,F8
0.030168,0.93968,0.47075,0.98492,0.044917,0.91017,0.4571,0.97754,F8
0.033631,0.93275,0.46751,0.98318,0.04823,0.90354,0.4541,0.97589,F8
0.027626,0.94477,0.47314,0.98619,0.04138,0.91724,0.46034,0.97931,F8
0.031676,0.93666,0.46933,0.98416,0.051964,0.89607,0.45074,0.97402,F8
0.027989,0.94404,0.47282,0.98601,0.040426,0.91914,0.46124,0.97979,F8
0.028268,0.94348,0.47254,0.98587,0.041577,0.91684,0.46016,0.97921,F8
0.028184,0.94365,0.47262,0.98591,0.040931,0.91814,0.46076,0.97953,F8
0.027486,0.94504,0.47328,0.98626,0.03992,0.92016,0.46169,0.98004,F8
0.028156,0.9437,0.47264,0.98592,0.041324,0.91735,0.46039,0.97934,F8
0.026899,0.94622,0.47383,0.98655,0.039443,0.92111,0.46211,0.98028,F8
0.03148,0.93705,0.46954,0.98426,0.04604,0.90791,0.45612,0.97698,F8
0.026173,0.94767,0.47452,0.98691,0.040285,0.91943,0.46135,0.97986,F8
0.031117,0.93778,0.46987,0.98444,0.049325,0.90134,0.45314,0.97534,F8
0.027374,0.94527,0.47339,0.98631,0.039359,0.92128,0.46221,0.98032,F8
0.027709,0.9446,0.47307,0.98615,0.039752,0.9205,0.46183,0.98012,F8
0.026816,0.94639,0.47391,0.98659,0.038966,0.92207,0.46256,0.98052,F8
0.029693,0.94063,0.4712,0.98515,0.043093,0.91381,0.45877,0.97845,F8
0.029832,0.94035,0.47106,0.98508,0.043766,0.91247,0.45815,0.97812,F8
0.03095,0.93812,0.47003,0.98453,0.045282,0.90943,0.4568,0.97736,F8
0.037318,0.92537,0.46408,0.98134,0.054462,0.89108,0.44851,0.97277,M10
0.035,0.93,0.46623,0.9825,0.053592,0.89283,0.44928,0.9732,M10
0.034134,0.93173,0.46704,0.98293,0.052273,0.89547,0.45047,0.97386,M10
0.037849,0.9243,0.46363,0.98108,0.056512,0.88698,0.44672,0.97174,M10
0.034637,0.93073,0.46657,0.98268,0.051346,0.89733,0.4513,0.97433,M10
0.040196,0.91961,0.46142,0.9799,0.058449,0.88311,0.44497,0.97078,M10
0.039916,0.92017,0.46169,0.98004,0.059319,0.88137,0.44421,0.97034,M10
0.037821,0.92436,0.46363,0.98109,0.058533,0.88294,0.44492,0.97073,M10
0.03757,0.92485,0.46391,0.98122,0.056848,0.8863,0.44645,0.97158,M10
0.037849,0.9243,0.4636,0.98108,0.056792,0.88642,0.44645,0.9716,M10
0.037011,0.92598,0.46439,0.98149,0.054518,0.89096,0.44849,0.97274,M10
0.035307,0.92938,0.46601,0.98235,0.052329,0.89533,0.45048,0.97384,M10
0.035307,0.92939,0.46594,0.98235,0.052525,0.89496,0.45024,0.97374,M10
0.033436,0.93313,0.46772,0.98328,0.05814,0.88372,0.44527,0.97093,M10
0.028659,0.94268,0.4722,0.98567,0.044131,0.91174,0.45786,0.97793,M10
0.044022,0.91196,0.45815,0.97799,0.088515,0.82292,0.41952,0.95574,M10
0.031536,0.93693,0.46947,0.98423,0.10261,0.79479,0.40793,0.9487,M10
0.030615,0.93878,0.47034,0.98469,0.050476,0.89911,0.4521,0.97476,M10
0.035978,0.92804,0.46541,0.98201,0.058393,0.88321,0.44512,0.9708,M10
0.034637,0.93073,0.46657,0.98268,0.05115,0.89771,0.45148,0.97443,M10
0.040559,0.9189,0.46109,0.97972,0.057663,0.88468,0.44566,0.97117,M100
0.043994,0.91202,0.45796,0.978,0.065299,0.8694,0.43898,0.96735,M100
0.045615,0.90878,0.45647,0.97719,0.068611,0.86278,0.4361,0.96569,M100
0.040978,0.91806,0.4607,0.97951,0.057494,0.88502,0.44581,0.97125,M100
0.046341,0.90733,0.45582,0.97683,0.070548,0.85891,0.43444,0.96473,M100
0.039553,0.92091,0.46203,0.98022,0.057101,0.8858,0.44617,0.97145,M100
0.040587,0.91884,0.46108,0.97971,0.05668,0.88664,0.44655,0.97166,M100
0.041788,0.91643,0.45998,0.97911,0.06134,0.87732,0.44244,0.96933,M100
0.040084,0.91985,0.46153,0.97996,0.058112,0.88378,0.44527,0.97094,M100
0.041229,0.91755,0.46048,0.97939,0.058786,0.88243,0.44468,0.97061,M100
0.042374,0.91526,0.45943,0.97881,0.062014,0.87597,0.44184,0.96899,M100
0.043212,0.91359,0.45867,0.97839,0.063249,0.8735,0.44077,0.96838,M100
0.042291,0.91543,0.45952,0.97885,0.060947,0.8781,0.4428,0.96953,M100
0.039358,0.9213,0.4622,0.98032,0.055417,0.88917,0.44767,0.97229,M100
0.043436,0.91314,0.45849,0.97828,0.062744,0.87451,0.44123,0.96863,M100
0.044022,0.91196,0.45794,0.97799,0.064484,0.87103,0.43969,0.96776,M100
0.040978,0.91806,0.46071,0.97951,0.061116,0.87777,0.44262,0.96944,M100
0.042542,0.91493,0.45927,0.97873,0.064484,0.87104,0.43968,0.96776,M100
0.045447,0.90912,0.45662,0.97728,0.066843,0.86632,0.43763,0.96658,M100
0.042067,0.91588,0.45971,0.97897,0.062407,0.87519,0.44149,0.9688,M100
0.015978,0.96804,0.4843,0.99201,0.02434,0.95134,0.47629,0.98783,M101
0.017151,0.9657,0.48316,0.99142,0.026333,0.94735,0.4744,0.98683,M101
0.016816,0.96637,0.48348,0.99159,0.025631,0.94876,0.47505,0.98718,M101
0.015978,0.96804,0.4843,0.99201,0.024115,0.95179,0.4765,0.98794,M101
